Representative_Sequence,B321D,B321N,B323D,B323N,B324D,B324N,B325D,B325N,B326D,B326N,B327D,B327N,B328D,B328N,B329N,B330D,B330N,B331D,B331N,B332D,B332N,B333D,B333N,B334D,B334N,B335D,B335N,total,relative
M04837_139_000000000-C4LDR_1_1113_23428_2956,156,69,176,150,147,142,31,0,125,112,292,208,320,265,399,259,327,189,148,182,72,100,105,152,88,272,113,4599,0.18484355217941761
M04837_139_000000000-C4LDR_1_2117_19112_18957,882,3171,504,541,645,718,1140,1861,192,1032,125,665,604,1694,2955,1725,3062,5497,9453,2670,4019,804,941,1175,1952,1312,1956,51295,2.061654709511465
M04837_139_000000000-C4LDR_1_1119_25882_19060,1066,59,1304,1809,2215,2172,1055,1351,493,441,387,423,866,1493,663,497,301,533,38,1550,308,1680,1903,5812,7541,929,689,37578,1.5103394224392597
M04837_139_000000000-C4LDR_1_2104_24333_11710,626,693,3248,3276,1109,880,3272,3232,7135,3990,3467,3185,8502,4809,1799,801,1075,314,113,555,206,266,349,241,229,421,317,54110,2.1747955225980187
M04837_139_000000000-C4LDR_1_1114_11818_4308,75,128,152,445,34,95,58,382,293,220,39,14,81,98,47,18,56,33,366,184,67,433,102,56,136,214,80,3906,0.15699041417977935
M04837_139_000000000-C4LDR_1_2103_24620_23386,1881,2837,1492,1368,4989,5829,465,422,0,706,1150,779,231,334,792,652,1306,1785,605,2399,587,975,2274,1047,945,1002,800,37652,1.5133136391953539
M04837_139_000000000-C4LDR_1_2106_21077_4818,6053,882,2656,3227,916,425,710,971,724,1605,1587,1403,1335,1858,1462,5716,4862,3233,1192,4611,3359,7911,3451,2079,2265,628,455,65576,2.6356383513193062
M04837_139_000000000-C4LDR_1_1106_11005_21770,71,273,108,83,6,35,43,31,424,246,422,290,54,85,18,144,380,227,181,136,292,25,204,1,73,67,266,4185,0.16820401519262074
M04837_139_000000000-C4LDR_1_1107_24268_13130,3304,1089,3081,3896,1658,748,2881,2803,4850,1848,4634,1645,3648,4055,3799,3470,3755,1449,826,3280,454,3163,571,572,291,1600,768,64138,2.5778420851670987
M04837_139_000000000-C4LDR_1_2113_11905_12753,475,3738,398,479,1494,2459,442,2343,650,1230,139,329,347,413,1759,1100,1681,540,2922,1243,3958,1011,3000,1440,3299,484,5124,42497,1.7080444524828682
M04837_139_000000000-C4LDR_1_1106_15974_17066,227,539,217,365,39,97,209,78,1067,557,928,837,99,246,78,400,909,695,603,315,938,105,605,0,47,178,634,11012,0.442595607001467
M04837_139_000000000-C4LDR_1_1115_19335_4789,5244,2528,6844,6840,2395,3772,4959,3315,3054,3801,3983,2454,4367,4049,2518,5487,6972,5387,1873,6721,3856,9955,5245,5675,2825,6486,7704,128309,5.157010510238942
M04837_139_000000000-C4LDR_1_1108_20016_4720,3391,2266,5550,4759,4358,4483,4263,5708,3155,4715,4473,5434,5503,9570,4526,4503,4760,3074,1240,4254,3474,5099,2389,2873,1824,5182,3968,114794,4.613814031068507
M04837_139_000000000-C4LDR_1_1102_19598_16900,36,95,34,113,12,19,197,567,979,362,150,53,133,24,17,24,31,44,153,41,63,21,39,2,38,301,102,3650,0.14670123188842668
M04837_139_000000000-C4LDR_1_2111_17059_13127,2795,1875,658,760,139,136,763,456,814,1676,2197,5739,699,1328,763,518,522,737,1291,842,1091,579,784,256,230,1236,808,29692,1.1933843773236068
M04837_139_000000000-C4LDR_1_1111_20188_2368,1,0,354,187,0,0,1395,329,1,1,0,167,15,0,0,0,0,0,0,0,0,0,183,123,2840,0,0,5596,0.2249150941500372
M04837_139_000000000-C4LDR_1_2108_7820_15354,5661,8167,6185,5582,3590,2172,3390,4985,5581,7530,8184,7286,1386,1722,1534,3661,4310,3957,5595,1448,3250,2224,4185,2661,2780,4022,4415,115463,4.640702558228331
M04837_139_000000000-C4LDR_1_2107_18716_16651,184,61,115,204,122,53,40,137,45,47,39,242,21,45,903,83,752,63,5,386,224,177,1048,25,3,142,36,5202,0.2090793995297522
M04837_139_000000000-C4LDR_1_1107_15889_4431,756,87,310,423,139,68,95,158,81,176,195,146,197,287,195,677,673,425,163,558,388,984,454,293,264,127,59,8378,0.3367295673318462
M04837_139_000000000-C4LDR_1_2118_11286_6052,1815,5928,2849,2284,123,1569,3069,3596,538,4009,61,1518,129,1183,2403,790,470,457,6540,1699,4868,115,2720,1227,1972,2214,2186,56332,2.2641024095174935
M04837_139_000000000-C4LDR_1_2103_23700_6486,790,2064,461,917,62,326,735,426,4257,2418,4315,3529,692,1063,435,1699,3489,2280,1593,1276,3114,238,2419,11,460,448,2370,41887,1.6835272603042544
M04837_139_000000000-C4LDR_1_1106_25912_16073,105,0,12,0,135,258,0,0,0,0,0,0,0,15,0,0,0,98,111,60,571,5,250,31,28,0,155,1834,0.07371234500914371
M04837_139_000000000-C4LDR_1_1117_22465_6723,189,0,0,103,6313,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,163,11671,1847,0,44,23133,0.9297642732260204
M04837_139_000000000-C4LDR_1_1107_22309_17991,48,34,67,98,196,158,39,118,15,28,7,29,23,15,150,38,90,27,43,36,21,57,163,88,155,57,444,2244,0.09019111352263821
M04837_268_000000000-JK5FH_1_1107_9931_11626,1793,0,66,51,0,0,0,73,30,280,25,18,26,451,419,305,316,316,553,7,0,44,0,7,26,0,52,4858,0.19525331082574707
M04837_139_000000000-C4LDR_1_1113_24062_3076,657,317,1359,1432,842,283,1399,1075,1076,879,810,977,2268,1817,1167,465,570,1225,173,1254,631,1870,515,472,170,992,647,25342,1.0185486626072626
M04837_139_000000000-C4LDR_1_2101_5689_18702,0,23,0,0,41,0,552,115,737,389,619,781,275,188,39,129,166,108,152,16,18,10,51,0,0,0,15,4424,0.17780993147243826
M04837_139_000000000-C4LDR_1_2119_22602_15301,286,24,353,496,70,20,377,604,64,124,280,261,1736,791,1292,737,483,722,24,480,116,643,78,159,2,54,91,10367,0.4166716906814574
M04837_139_000000000-C4LDR_1_2112_24906_3225,46,5076,282,190,523,939,686,110,5330,1700,330,506,5044,217,411,9889,1340,7732,2061,1695,2324,100,163,150,146,653,546,48189,1.9368179899921625
M04837_268_000000000-JK5FH_1_2106_12534_15573,289,62,439,441,397,137,875,574,1343,960,1049,819,1279,1029,1204,332,376,331,59,340,201,659,211,234,72,299,453,14464,0.5813387994614256
M04837_139_000000000-C4LDR_1_1101_11813_11420,3572,1263,2873,1390,347,811,1068,1514,1181,3202,516,345,529,782,1052,1320,638,2138,1143,4921,867,1995,1952,99,1583,227,1678,39006,1.5677337674082112
M04837_139_000000000-C4LDR_1_2114_12534_9377,0,86,60,28,0,1139,112,22,285,199,56,210,0,2,1,99,5,842,640,95,2946,1039,105,0,153,19,1093,9236,0.3712144048552079
M04837_139_000000000-C4LDR_1_2101_6531_12972,0,267,0,0,0,0,0,0,0,0,0,0,619,0,0,347,0,76,436,0,0,185,0,0,0,0,0,1930,0.07757078836840095
M04837_139_000000000-C4LDR_1_1109_18068_12246,181,47,193,175,28,30,82,102,0,117,0,0,70,107,49,0,100,96,121,0,72,0,113,55,56,244,41,2079,0.08355941399891481
M04837_268_000000000-JK5FH_1_1115_16828_1424,527,208,0,0,0,0,772,706,0,0,0,0,464,379,305,367,303,306,0,0,0,782,0,0,0,0,246,5365,0.21563071481682441
M04837_139_000000000-C4LDR_1_1109_22318_17354,365,332,144,88,49,69,5763,402,530,94,674,163,1057,10,195,359,201,317,71,902,334,336,708,88,322,163,369,14105,0.5669098289825365
M04837_139_000000000-C4LDR_1_2110_22549_9677,938,411,0,0,1707,1596,370,0,0,512,0,0,0,0,2491,2350,1726,920,707,1379,1904,653,381,758,664,820,1905,22192,0.8919434898816342
M04837_139_000000000-C4LDR_1_1105_24508_5412,95,22,108,92,144,126,61,60,128,102,343,139,122,199,158,4,1,2,4,29,3,56,14,23,0,21,28,2084,0.0837603745905428
M04837_139_000000000-C4LDR_1_2113_6353_16367,189,1605,0,1,0,0,3000,26,2449,459,426,135,0,0,4,0,117,0,331,5,0,0,230,0,105,53,1,9136,0.36719519302264825
M04837_139_000000000-C4LDR_1_2108_10126_12572,509,30,49,230,0,92,7,108,6,86,179,149,106,691,575,831,1148,147,138,326,29,649,726,251,278,2,341,7683,0.30879604509555675
M04837_139_000000000-C4LDR_1_1117_19571_14583,640,264,691,653,0,247,488,404,986,1229,372,186,22,372,0,113,79,354,339,174,255,117,1086,215,116,111,36,9549,0.38379453789111956
M04837_139_000000000-C4LDR_1_2101_12473_14135,625,3582,188,163,660,419,342,511,273,178,130,402,86,355,64,133,131,457,1032,339,386,170,202,978,437,435,477,13155,0.52872731657322
M04837_139_000000000-C4LDR_1_2114_26951_8168,0,2,0,0,0,0,0,0,0,0,0,0,0,0,274,200,0,308,426,576,528,17,2017,0,1,0,0,4349,0.17479552259801853
M04837_139_000000000-C4LDR_1_1101_22807_2924,5136,547,1356,1233,891,909,397,278,419,353,251,363,58,338,244,451,567,1441,425,1873,833,596,867,380,178,712,380,21476,0.8631659331605073
M04837_139_000000000-C4LDR_1_1104_27304_12096,47,112,0,0,46,14,173,310,0,5,1,0,711,673,11,389,320,188,207,2,1,0,11,0,0,8,34,3263,0.1311468820964209
M04837_139_000000000-C4LDR_1_1114_15972_23599,195,22,9,53,79,455,79,334,356,1006,206,258,960,456,1360,961,133,29,672,62,44,75,6,83,22,0,0,7915,0.3181206165470951
M04837_139_000000000-C4LDR_1_1105_18821_19660,1137,398,762,709,0,0,414,0,0,0,0,0,464,0,319,591,624,796,0,854,531,1948,946,1554,548,1312,0,13907,0.5589517895540684
M04837_139_000000000-C4LDR_1_2112_16619_5799,0,47,2,2,94,565,0,0,0,0,0,1,0,0,1,0,0,0,0,8,732,19,699,207,242,0,23,2642,0.10618757661622556
M04837_139_000000000-C4LDR_1_2101_13360_17819,5557,1480,6777,6397,976,871,4328,3764,5080,4956,5410,3047,2749,3652,1977,3646,3379,3178,2636,3306,2735,4226,3980,2422,2163,10536,1966,101194,4.0672012218403975
M04837_139_000000000-C4LDR_1_1112_12964_19508,458,43,92,73,0,263,671,447,82,26,174,87,106,489,1253,290,86,22,13,556,165,212,203,3077,584,289,39,9800,0.39388275959084423
