Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;9;8.9379;21.1196;36.6835;5.1157;218.17;0.443;159.45;0.027;25.74379;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;11;10.9235;21.1191;36.6835;5.1157;217.71001;0.44;138.00999;0.027;25.74404;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;13;12.9096;21.1183;36.6834;5.1157;217.61;0.422;126.92;0.032;25.74429;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;15;14.895;21.119;36.6834;5.1159;218.5;1.028;115.62;0.038;25.7442;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;17;16.8813;21.1191;36.6832;5.116;218.28999;2.017;112.78;0.038;25.74413;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;19;18.8682;21.1189;36.683;5.116;217.84;0.265;122.82;0.041;25.74413;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;21;20.8522;21.1176;36.6825;5.1159;218.58;0.498;119.67;0.041;25.74422;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;23;22.8391;21.1189;36.6829;5.1162;218.38;0.443;142.67999;0.041;25.74427;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;25;24.8249;21.1202;36.6833;5.1164;218.39999;0.442;173.94;0.043;25.74433;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;27;26.8108;21.1174;36.6826;5.1162;218.60001;0.442;186.23;0.041;25.74467;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;29;28.7966;21.1202;36.6834;5.1166;218.99001;0.443;186.64;0.041;25.74461;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;31;30.7822;21.1213;36.6839;5.1169;218.49001;1.448;205.10001;0.045;25.7448;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;33;32.7683;21.1225;36.6839;5.1171;218.52;2.33;165.17;0.042;25.74458;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;35;34.7544;21.1232;36.6838;5.1173;218.50999;1.443;170.61;0.04;25.74441;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
