Date;M150;C150;N150;M200;C200;N200;M300;C300;N300
08/03/2016;86.18;16.85;2.08;44.2;9.63;1.93;32.73;6.54;1.02
23/03/2016;151.16;35.54;5.57;NA;NA;NA;NA;NA;NA
14/04/2016;43.03;8.8;2.22;49.56;9.61;1.44;28.05;4.47;1.43
03/05/2016;292.86;61.98;6.75;217.74;43.48;4.66;122.2;25.76;2.38
14/06/2016;46.12;13.94;2.58;39.57;7.35;0.92;36.16;6.7;1.53
22/07/2016;76.25;26.95;4.06;47.8;14.73;1.5;45.52;24.82;3.3
17/08/2016;110.09;34.91;5.35;54.15;12.94;1.35;61.02;12.9;1.28
20/09/2016;103.97;2.79;0.48;88.87;0.75;0.2;62.87;NA;NA
19/10/2016;78.57;17.03;3.15;59.03;13.75;2.61;31.43;5.52;0.97
16/11/2016;40.85;10.68;0.93;28.74;6.17;0.4;27.99;6.1;0.57
13/12/2016;62.34;14.71;2.05;45.17;9.77;1.2;69.12;23.33;2.44
06/01/2017;94.56;20.33;2.84;64.04;10.02;1.46;43.33;7.88;1.03
19/02/2017;226.02;24.58;6.68;195.34;19.05;3.25;92.62;NA;0.64
09/04/2017;282.92;67.63;9.34;281.32;63.86;8.36;306.68;60.22;5.51
09/05/2017;109.02;25.58;2.91;131.54;24.74;1.83;54.69;9.47;0.61
